location-long,location-lat,date,time
-78.7829056,42.7534944,10/13/2021,13:58:31
-78.7856128,42.7542624,10/13/2021,16:57:49
-78.7860864,42.7530464,10/13/2021,19:59:09
-78.7856128,42.7523264,10/13/2021,22:58:09
-78.7850624,42.752112,10/14/2021,1:58:01
-78.7848064,42.7521728,10/14/2021,4:58:07
-78.786848,42.7532704,10/14/2021,7:58:01
-78.786848,42.7513184,10/14/2021,10:58:50
-78.7856128,42.7522208,10/14/2021,13:57:44
-78.7839488,42.7517536,10/14/2021,16:57:50
-78.784384,42.751728,10/14/2021,19:58:09
-78.784448,42.7518144,10/15/2021,1:58:01
-78.7842688,42.75184,10/15/2021,4:58:03
-78.7846208,42.7521696,10/15/2021,7:58:15
-78.7851712,42.7528864,10/15/2021,10:57:55
-78.783744,42.7532832,10/15/2021,13:58:10
-78.785536,42.7524064,10/15/2021,16:58:33
-78.7841856,42.7525568,10/15/2021,19:58:09
-78.7841024,42.752608,10/15/2021,22:58:55
-78.7842624,42.75248,10/16/2021,1:57:55
-78.7842432,42.7525088,10/16/2021,7:58:31
-78.7847232,42.7520192,10/16/2021,10:57:48
-78.7846784,42.7521472,10/16/2021,13:57:38
-78.7840256,42.7512544,10/16/2021,16:57:54
-78.7848384,42.7508096,10/16/2021,19:57:54
-78.785024,42.7510048,10/16/2021,22:58:47
-78.7855744,42.7510208,10/17/2021,1:58:23
-78.7849664,42.750976,10/17/2021,4:59:10
-78.7846464,42.75096,10/17/2021,7:58:01
-78.7792256,42.746656,10/17/2021,10:58:01
-78.7800064,42.7462592,10/17/2021,13:58:20
-78.77648,42.7492384,10/17/2021,16:58:33
-78.7797952,42.7501792,10/17/2021,19:58:20
-78.7798528,42.7501568,10/17/2021,22:57:55
-78.7798464,42.7502048,10/18/2021,1:57:50
-78.7794432,42.7500992,10/18/2021,4:58:35
-78.7775872,42.7496576,10/18/2021,7:58:12
-78.7783104,42.7487616,10/18/2021,10:58:01
-78.7798528,42.7478496,10/18/2021,13:58:03
-78.7757312,42.7467456,10/18/2021,16:58:25
-78.7791808,42.7494656,10/18/2021,19:58:13
-78.7792448,42.7494784,10/18/2021,22:58:00
-78.7791296,42.7495488,10/19/2021,1:58:01
-78.7791168,42.749584,10/19/2021,4:58:31
-78.7788928,42.7479616,10/19/2021,7:58:15
-78.7759104,42.7490272,10/19/2021,10:58:49
-78.7780864,42.748288,10/19/2021,13:58:31
-78.7778368,42.74824,10/19/2021,16:58:25
-78.787424,42.751056,10/19/2021,22:59:12
-78.7878656,42.7512704,10/20/2021,1:58:31
-78.7874624,42.7510176,10/20/2021,4:58:00
-78.7848128,42.7467424,10/20/2021,7:57:49
-78.777504,42.7482496,10/20/2021,10:59:11
-78.7750528,42.747712,10/20/2021,13:58:44
-78.775904,42.7483328,10/20/2021,16:58:01
-78.7807488,42.7500576,10/20/2021,19:57:55
-78.7812224,42.7503552,10/20/2021,22:58:01
-78.7812096,42.7502912,10/21/2021,1:58:31
-78.7810432,42.7502752,10/21/2021,4:58:31
-78.7809344,42.7494656,10/21/2021,7:57:39
-78.7749632,42.7486016,10/21/2021,10:58:00
-78.774528,42.7486528,10/21/2021,13:57:40
-78.7738944,42.7505792,10/21/2021,16:58:48
-78.7741248,42.7488352,10/21/2021,22:58:11
-78.7727936,42.7479584,10/22/2021,10:58:26
-78.7533952,42.7557568,10/22/2021,13:58:31
-78.752704,42.7560128,10/22/2021,16:58:49
-78.7508864,42.7553216,10/22/2021,19:58:55
-78.7510848,42.7551776,10/22/2021,22:58:22
